番号,単語,意味,例文,意味
1,unify,統一する,unify the opposition,野党を統一する
2,manipulation,小細工、物体操作,a device for kanji manipulation called {OCR},手書き、活字の漢字を読み取ってコンピュータに入力する装置
3,integrate,統合する、まとめる、調和させる,integrate blacks with whites,黒人を白人と融合させる
4,linguistic,言葉の、言語の,anthropoid linguistic ability,類人猿の言語能力
5,particularly,特に、とりわけ,I particularly asked him to be careful.,彼に注意してくれと特に頼んだ
6,evolve,進化させる、発達させる,evolve from a lower form into a higher form of animal life,下等動物から高等動物へ進化する
7,acquire,学ぶ、習得する,acquire a foreign language,外国語を身に着ける
8,relatively,相対的に、比較的に,a thing of relatively small value,比較的価値の少ないもの
9,deformable,変形しやすい、変形可能な,deformable mirror,形状可変ミラー
10,emergence,出現,emergence of cicadas,蝉の羽化
11,broaden,広げる、広める,The river broadens at its mouth.,川は河口で広くなっている
12,notable,注目に値する、著名な、有名な,a notable surgeon,著名な外科医
13,bridge,埋める,bridge a gap,ギャップを埋める
14,teleoperation,遠隔操作,Training data is collected via teleoperation using a leader-follower robot system.,学習データはリーダー・フォロワー型ロボットシステムによる遠隔操作で収集されます
15,combine,結合する、連合する、結びつける,Let's combine our efforts.,一緒に努力しよう
16,incorporate,合体させる、合同させる、合併する,incorporate one firm with another,商社を他の商社と合体させる
17,numerically,数の上では,a datum that can be represented numerically,数値的に表せるデータ
18,validate,有効にする、確認する,validate a theory,理論を確認する
19,bimanual,両手の、双合の,a machine designed for bimanual operation,両手で操作するように設計された機械
20,involve,巻き込む、必要とする、伴う,His mistake involved me in a great deal of trouble.,彼が間違いをしたために私は大変な面倒に巻き込まれることとなった
21,principle,原理、法則、仕組み、主義,first principles,第一原理
22,sequence,連続、連鎖、結果、順序、数列,the sequence of the seasons,四季の循環
23,paper,論文、レポート,read a paper on …,…の論文を発表する
24,leverage,てこの力、てこ装置、効力、影響力,Do you have any leverage with the Senator?,あなたはあの上院議員に顔がききますか
25,enhance,高める、増す,to enhance the appearance,外観をよりよくするために
26,modulation,調整、抑揚、転調,to undergo modulation,楽曲の調子を変える
27,foundation,創設、設立、設立物、根拠、基礎,a rumor without foundation,根も葉もない流言
28,behavior,ふるまい、態度、挙動、修正、運転,her behavior toward me,彼女の私に対する態度
29,coordination,同等、対等関係、整合,lacking coordination,バランスを失うこと
30,denote,表示する、示す、しるしである,This map symbol denotes historic places.,この地図の記号は史跡地を示す
31,facilitate,容易にする、楽にする,His father's connections facilitated his employment.,彼は父親のコネのおかげで就職が容易だった
32,estimation,判断、評価、尊重,in my estimation,私の見るところでは
33,alongside,そばに、並んで、一緒に,to run alongside,並んで走る
34,interpret,解釈する、説明する、理解する,Can you interpret the passage?,その一節の解釈ができますか
35,contrastive,対照的な、対比する,constrastive linguistics,対照言語学
36,ambiguous,両義にとれる、あいまいな,a word of ambiguous meaning,意味のわかりにくい語
37,upon,上で、そのうえに、～にあたり,once upon a time,むかしむかし
38,multimodal,多様式の,production of multimodal polyethylene,多項性ポリエチレンの製造
39,comprehensive,包括的な、広い、わかりのよい,a comprehensive mind,広い心
40,illustrate,説明する、挿絵を入れる、図解する,The phenomenon is well illustrated in history,その現象は歴史に十分に例証されている
41,feature,顔立ち、特徴、特色,a significant feature of our time,現代の著しい特徴
42,coverage,填補範囲、報道範囲、サービス領域,radio and TV coverage,ラジオとテレビによる報道
43,verify,確かめる、実証する、立証する,Have you verified these facts?,あなたはこれらの事実を確かめましたか
44,frequency,頻繁、頻発、回数、度数、頻度,the frequency of earthquakes in Japan,日本における地震の頻発
45,distribute,分配する、流通させる、分布させる,distribute ash over a field,畑一面に灰をまく
46,simultaneously,同時に,three big troubles that simultaneously affict a person,三つの大きな悩み
47,conventional,因習的な、陳腐な、協定上の,conventional morality,因習道徳
48,toward,…のほうへ、…をさして,go toward the river,川の方へ行く
49,precise,正確な、精密な、的確な,a precise statement,的確な陳述
50,underscore,下線を引く、強調する,These results underscore the role of torque in force control.,この結果は力制御におけるトルクの役割を裏付けている
51,correspond,一致する、符合する、対応する,currespond to …,…に一致する
52,furthermore,なお、そのうえ、さらに,"And furthermore, we must remember …",さらにまた…ということも忘れてはならない
53,vary,変える、変更する、改める,vary one's meals,食事に変化を与える
54,essential,必須の、非常に重要な,an essential part of the plan,その計画のなくてはならぬ大事な部分
55,thereby,それによって、それに関して,Thereby hangs a tale.,それには少しわけがある
56,autonomous,自治権のある、自主的な,an autonomous republic,自治共和国
57,nuance,微妙な差違、ニュアンス,I don't understand the English nuance.,英語のニュアンスがわからない
58,haptic,触覚の,haptic data,触覚に関するデータ
59,assistive,支援の,visual assistive device,視覚支援装置
